Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2022-01-01;21.6;21;82.8;
2022-01-02;3.4;22.8;76.8;
2022-01-03;2.8;22.6;81.1;
2022-01-04;19.8;22.6;82.8;
2022-01-05;15.6;23;76.4;
2022-01-06;8.8;22;80.7;
2022-01-07;2.4;19.9;83.1;
2022-01-08;5;18.9;84.8;
2022-01-09;1.6;17.7;88.4;
2022-01-10;12.8;19.6;80.9;
2022-01-11;0;20.4;82.7;
2022-01-12;13.4;21.6;82.1;
2022-01-13;12.8;22.5;81.4;
2022-01-14;1.4;23.5;76;
2022-01-15;0;24.6;71.3;
2022-01-16;0;23.2;69.8;
2022-01-17;13.4;23.9;68.5;
2022-01-18;0;25.5;64.3;
2022-01-19;38;24.1;67.5;
2022-01-20;32.2;23.5;67.6;
2022-01-21;24;24.3;69.2;
2022-01-22;0;24.3;64.3;
2022-01-23;0;25.2;68.7;
2022-01-24;0;25.2;69;
2022-01-25;0;25.2;67;
2022-01-26;1.2;25.3;65.8;
2022-01-27;25.4;25.2;61.2;
2022-01-28;32.4;21.4;85.8;
2022-01-29;20;20.5;86;
2022-01-30;66.4;20;87.6;
2022-01-31;4.2;20.8;83.4;
2022-02-01;10;21.9;80.4;
2022-02-02;11.8;21.9;80.4;
2022-02-03;.6;22.6;76.8;
2022-02-04;0;23.4;73.8;
2022-02-05;1.6;24.2;72.1;
2022-02-06;0;23.7;73.3;
2022-02-07;5;21.1;82.8;
2022-02-08;4.4;21.2;74.4;
2022-02-09;0;20.8;66.7;
2022-02-10;0;21;68.8;
2022-02-11;0;21.3;70;
2022-02-12;0;22;69.8;
2022-02-13;0;23;68.5;
2022-02-14;0;24.6;64;
2022-02-15;0;24;65.4;
2022-02-16;0;22.5;67.6;
2022-02-17;0;21.8;70;
2022-02-18;2.2;21.1;70.7;
2022-02-19;7.6;21.6;69.8;
2022-02-20;0;23.5;65.3;
2022-02-21;0;24.3;61.5;
2022-02-22;12.4;24.3;66.2;
2022-02-23;13;23.8;70.7;
2022-02-24;.6;23.8;65.3;
2022-02-25;0;24.8;65.4;
2022-02-26;0;23.9;63.6;
2022-02-27;0;24.1;67.8;
2022-02-28;0;26.2;58.9;
2022-03-01;0;25.6;61.3;
2022-03-02;7.2;24.7;64.8;
2022-03-03;0;26.2;59.9;
2022-03-04;0;23.9;71;
2022-03-05;7.8;23.8;71.4;
2022-03-06;17;24.6;68.5;
2022-03-07;1.6;24.6;65.5;
2022-03-08;.2;25.7;63.3;
2022-03-09;0;24.7;68.1;
2022-03-10;1.8;24.8;65.3;
2022-03-11;20.4;23.6;68.7;
2022-03-12;19;23.4;72.9;
2022-03-13;.8;22.7;76.4;
2022-03-14;15.6;22;85.2;
2022-03-15;24.4;22.2;87.3;
2022-03-16;52.8;22.7;83.2;
2022-03-17;33.4;24.9;72.5;
2022-03-18;0;26.1;64.7;
2022-03-19;.2;24.9;70.5;
2022-03-20;4.8;19.2;86.3;
2022-03-21;9.6;18.7;75.5;
2022-03-22;0;19.8;66.6;
2022-03-23;0;22.4;66.1;
2022-03-24;0;24.2;63.3;
2022-03-25;0;25.6;59.1;
2022-03-26;0;25.4;63.7;
2022-03-27;1;23.3;76.3;
2022-03-28;14.4;22.6;73.8;
2022-03-29;1.8;22.9;73.8;
2022-03-30;0;24.6;65.5;
2022-03-31;0;20.8;76.1;
2022-04-01;3.4;18;85.5;
2022-04-02;5.6;18.9;85;
2022-04-03;0;21.7;76.3;
2022-04-04;0;24.7;65.8;
2022-04-05;4.8;21.6;80.4;
2022-04-06;.2;21.5;70.8;
2022-04-07;0;20.9;70.1;
2022-04-08;0;22.5;71.5;
2022-04-09;35.8;23.3;75.9;
2022-04-10;0;22.6;69.3;
2022-04-11;0;22.3;68.3;
2022-04-12;0;23.6;70.1;
2022-04-13;1.8;23.3;70.2;
2022-04-14;0;21.1;74.5;
2022-04-15;1;17;67.9;
2022-04-16;1.2;16.6;71.1;
2022-04-17;1.2;16.9;73.3;
2022-04-18;0;17.5;71.2;
2022-04-19;0;19.1;69.9;
2022-04-20;0;19.4;71.2;
2022-04-21;0;20.4;64.9;
2022-04-22;.2;21.2;62.6;
2022-04-23;0;23.6;46.3;
2022-04-24;0;21.6;63;
2022-04-25;0;22;68.1;
2022-04-26;0;23.3;65.1;
2022-04-27;0;24;56.5;
2022-04-28;0;24.4;54.5;
2022-04-29;0;21.3;72.5;
2022-04-30;5.8;19.6;85.2;
2022-05-01;.4;22.5;66.4;
2022-05-02;0;22.7;63.1;
2022-05-03;2.2;23.3;64.8;
2022-05-04;.8;19.5;72.9;
2022-05-05;5.2;15.4;73.6;
2022-05-06;.6;16.9;73.8;
