data,tipo_ocorrencia,bairro,descricao,gravidade,chuva_mm,temperatura_c,umidade_percent
2024-03-24,incêndio urbano,Bela Vista,"Incêndio urbano no bairro Bela Vista, mobilizando equipes para conter as chamas em área residencial.",leve,61.0,37.5,31.7
2023-03-23,árvore caída,Vila Prudente,"Queda de árvore no bairro Vila Prudente, obstruindo parcialmente a via e oferecendo risco à população.",alta,27.4,27.7,74.3
2024-05-30,vendaval,Ermelino Matarazzo,"Vendaval atingiu o bairro Ermelino Matarazzo, derrubando estruturas leves e causando falta de energia na região.",leve,33.1,26.5,63.5
2022-04-14,alagamento,Parelheiros,"Alagamento em via pública no bairro Parelheiros, causando transtornos no trânsito e riscos aos pedestres.",crítica,69.6,27.3,82.9
2024-08-30,árvore caída,Freguesia do Ó,"Queda de árvore no bairro Freguesia do Ó, obstruindo parcialmente a via e oferecendo risco à população.",alta,50.8,21.6,81.4
2022-12-21,vendaval,Itaquera,"Vendaval atingiu o bairro Itaquera, derrubando estruturas leves e causando falta de energia na região.",moderada,58.0,28.4,68.8
2023-04-20,risco estrutural,Bela Vista,"Avaliação de risco estrutural em imóvel no bairro Bela Vista, com possibilidade de colapso parcial.",alta,58.0,25.4,76.3
2023-02-25,vendaval,Mooca,"Vendaval atingiu o bairro Mooca, derrubando estruturas leves e causando falta de energia na região.",alta,76.5,23.8,68.2
2023-04-05,incêndio urbano,Vila Mariana,"Incêndio urbano no bairro Vila Mariana, mobilizando equipes para conter as chamas em área residencial.",alta,46.2,30.4,36.8
2024-01-25,alagamento,Ipiranga,"Alagamento em via pública no bairro Ipiranga, causando transtornos no trânsito e riscos aos pedestres.",moderada,125.0,30.9,92.2
2022-03-11,árvore caída,Campo Limpo,"Queda de árvore no bairro Campo Limpo, obstruindo parcialmente a via e oferecendo risco à população.",leve,40.6,29.2,68.4
2024-09-10,incêndio urbano,Freguesia do Ó,"Incêndio urbano no bairro Freguesia do Ó, mobilizando equipes para conter as chamas em área residencial.",moderada,0.0,34.7,29.6
2023-04-29,alagamento,Penha,"Alagamento em via pública no bairro Penha, causando transtornos no trânsito e riscos aos pedestres.",leve,113.8,22.3,90.8
2023-08-24,árvore caída,Vila Mariana,"Queda de árvore no bairro Vila Mariana, obstruindo parcialmente a via e oferecendo risco à população.",leve,5.7,19.7,86.5
2022-04-13,árvore caída,Jaçanã,"Queda de árvore no bairro Jaçanã, obstruindo parcialmente a via e oferecendo risco à população.",moderada,95.8,26.4,81.2
2022-10-11,deslizamento,Itaquera,"Deslizamento de encosta registrado no bairro Itaquera, afetando moradias e bloqueando vias locais.",leve,44.2,25.7,87.4
